"Values","PRODUCTION","Human consumption per capita (in kg)","emoji"
"Drinking milk",69276.0,42.7,🥛
"Other fluid milk products",44076.6,24.2,🥛
"Cream",7710.9,7.6,🍦
"Butter",3357.8,5.2,🧈
"Cheese",24281.3,25.8,🧀
"Raw milk in total",405847.7,8.8,🥛
