"Values","PRODUCTION","Human consumption per capita (in kg)","emoji"
"Total cereals",4864231,93.2,-
"Common wheat",1425492,57.9,🌾
"Durum wheat",139408,7.8,🌾
"Barley",716124,0.4,🌾
"Grain maize",2059362,15.6,🌾
"Other cereals",252641,11.5,🌾
