"Values","PRODUCTION","Human consumption per capita (in kg)"
"Drinking milk",692760,42.7
"Other fluid milk products",440766,24.2
"Cream",77109,7.6
"Concentrated milk",,0.9
"Whole milk powder",2048,0.1
"Skimmed milk powder",4549,0.3
"Butter",33578,5.2
"Cheese",242813,25.8
"Processed cheese",43752,0.7
"Raw milk: cows milk",4020699,7.9
"Raw milk: sheep milk",11333,0.3
"Raw milk: goats milk",26445,0.5
"Raw milk in total",4058477,8.8
