"Values","PRODUCTION","Human consumption per capita (in kg)"
"Total cereals",4864231,93.2
"Common wheat",1425492,57.9
"Durum wheat",139408,7.8
"Rye",127875,7.4
"Barley",716124,0.4
"Oats",67612,2.7
"Grain maize",2059362,15.6
"Triticale",257159,
"Meslin",14045,
"Other cereals",57154,1.4
